,Stock,Close,12EMA,26EMA,MACDHist,SignalMACD,CloseSlope,ShortEMASlope,LongEMASlope,MACDHistSlope,SignalMACDSlope
146,BHARTIARTL.NS,528.5999755859375,531.9407896898756,536.2283158994264,-4.287526209550833,3.042771212696305,-4.300048828125,-0.6074207461706465,-0.610267225079042,-8.577898898010062,0.31118874921363204
147,ALEMBICLTD.NS,125.4000015258789,128.42244592131323,124.98870209604819,3.43374382526504,-4.82604030519026,0.15000152587890625,-0.5495353446244167,0.032903954386455325,7.449926949540952,0.34807411998130444
148,ZYDUSWELL.NS,2082.85009765625,2099.6194103111748,2094.7657795094306,4.8536308017442025,-12.294299355084961,3.550048828125,-3.048965937259254,-0.9532545482543355,11.802972992493324,1.8601671383351892
149,METROPOLIS.NS,2468.75,2415.5852172227524,2369.4060947765956,46.179122446156725,-29.03624647654494,-31.550048828125,9.666324141317546,7.947512417872531,90.63943316886844,-4.285718992402948
150,MAHABANK.NS,24.350000381469727,24.503557639467974,24.314151649398966,0.18940599006900882,-0.3940587059436361,0.7000007629394531,-0.02791950145422817,0.0028678985656611644,0.409599380157907,0.05116317896865674
151,PRAJIND.BO,338.5,335.9866989302627,309.96613164695555,26.020567283307173,-31.875591906476508,11.100006103515625,0.45696383086135484,2.2827094682435813,53.86688020399657,1.463756155792332
152,VARROC.NS,420.0,406.36631103844934,396.0994672365502,10.266843801899142,-8.30246509748105,11.5,2.478852538463684,1.9120426210759547,19.966877686410555,-0.49109467610452295
153,SKFINDIA.NS,2352.10009765625,2361.2109764317124,2326.939674273334,34.2713021583786,-43.318818262605994,1.75,-1.6565234137201514,2.0128338706335853,72.21196160111094,2.261879026056846
154,BERGEPAINT.NS,788.0,791.7796809252078,772.5291107777497,19.25057014745812,-18.723412829340024,-10.25,-0.6872147136740523,1.237671137780012,40.426026146370305,-0.13178932952952493
155,ABBOTINDIA.NS,15990.0,15999.600026533653,15812.084115527861,187.51591100579208,-234.24539773597175,31.849609375,-1.7454593697548262,14.233270757771606,391.0105521391106,11.682371682544925
156,UNIONBANK.NS,34.79999923706055,35.18610649904276,35.36329707524403,-0.17719057620126932,-0.08370377876832479,0.4500007629394531,-0.07020132036040394,-0.04506382705467615,-0.32924365909681086,0.06522358874239852
157,KPRMILL.NS,1550.0,1526.6394835134167,1454.6702660544738,71.96921745894292,-77.73012875336735,16.449951171875,4.247366633924457,7.626378715641977,147.31744699960336,1.440227823606108
158,JKPAPER.NS,153.75,150.95599504250453,148.07814669322144,2.8778483492830844,-2.722920328987232,3.3000030517578125,0.5080009013628057,0.4537482645422699,5.701444061745633,-0.03873200507396346
159,ISEC.NS,574.0,567.0975994678167,530.5191798170763,36.57841965074044,-36.349655132152975,-8.70001220703125,1.254981914942391,3.478465614633933,75.38032300117243,-0.05719112964686701
160,TCNSBRANDS.NS,540.0,542.6900665243172,528.8596166841589,13.83044984015828,-15.296027794421368,4.75,-0.4891030044212812,0.8912306652673578,29.0412333500052,0.3663944885657706
